trial,x,y,scale,success,contact_step,contact_points,lift_dz,grasp_z
1,0.406,0.108,0.104,0,0,6,-0.0039,0.015
2,0.44,-0.083,0.069,1,1,2,0.2365,0.015
3,0.359,0.088,0.096,0,0,3,0.0172,0.015
4,0.456,-0.115,0.118,0,0,3,-3.2187,0.015
5,0.475,-0.069,0.071,1,1,2,0.2364,0.015
6,0.378,-0.047,0.091,1,0,4,0.2086,0.015
7,0.415,-0.05,0.097,1,0,5,0.1915,0.015
8,0.371,-0.05,0.082,1,0,3,0.208,0.015
9,0.418,0.068,0.072,1,1,2,0.235,0.015
10,0.427,0.022,0.063,1,2,2,0.2451,0.015
11,0.441,-0.079,0.064,1,2,2,0.2421,0.015
12,0.492,0.112,0.109,1,0,5,0.1803,0.015
13,0.396,-0.097,0.101,1,0,6,0.1882,0.015
14,0.416,-0.091,0.09,1,0,3,0.2054,0.015
15,0.355,0.098,0.076,0,0,4,-0.0007,0.015
16,0.449,-0.045,0.091,1,0,4,0.2041,0.015
17,0.432,-0.076,0.118,0,0,4,-2.6676,0.015
18,0.466,0.105,0.114,0,0,4,0.0154,0.015
19,0.44,0.101,0.065,1,2,2,0.2414,0.015
20,0.379,-0.109,0.08,1,0,2,0.2143,0.015
21,0.408,-0.055,0.11,1,0,5,0.1822,0.015
22,0.404,-0.053,0.093,1,0,4,0.2035,0.015
23,0.371,0.073,0.064,1,2,2,0.2407,0.015
24,0.498,0.065,0.072,1,1,2,0.2352,0.015
25,0.351,0.076,0.102,0,0,3,0.0202,0.015
26,0.459,0.065,0.064,1,2,2,0.2427,0.015
27,0.404,-0.092,0.112,0,0,5,-3.0387,0.015
28,0.443,-0.041,0.064,1,2,2,0.2439,0.015
29,0.397,-0.042,0.104,0,0,7,-0.0009,0.015
30,0.446,0.093,0.088,1,0,4,0.2048,0.015
31,0.368,0.051,0.106,0,0,5,-0.0008,0.015
32,0.434,0.065,0.09,1,0,3,0.2059,0.015
33,0.428,-0.017,0.062,1,2,2,0.2464,0.015
34,0.366,-0.112,0.098,0,0,4,0.0163,0.015
35,0.397,0.002,0.114,0,0,4,-0.0008,0.015
36,0.387,-0.022,0.105,0,0,4,-0.0005,0.015
37,0.384,-0.102,0.077,0,0,2,0.0076,0.015
38,0.374,0.103,0.108,0,0,5,-0.0021,0.015
39,0.445,0.089,0.108,0,0,4,0.0222,0.015
40,0.378,0.094,0.092,1,0,3,0.1984,0.015
41,0.471,0.095,0.079,1,0,5,0.2236,0.015
42,0.367,-0.065,0.086,1,0,3,0.215,0.015
43,0.473,0.087,0.06,1,3,2,0.2471,0.015
44,0.427,-0.02,0.073,1,1,2,0.2341,0.015
45,0.368,-0.039,0.117,0,0,6,-0.0021,0.015
46,0.398,0.005,0.102,0,0,4,-0.0012,0.015
47,0.405,0.113,0.118,0,0,4,0.0194,0.015
48,0.388,-0.001,0.078,1,0,2,0.2264,0.015
49,0.393,-0.111,0.097,1,0,6,0.1889,0.015
50,0.425,-0.108,0.077,0,0,2,-0.0019,0.015
