time,obj,cube_scale,topk,seed,ee_index,ik_iters,ik_attempts,joint_force,descent_step,descend_clear,vel_close,pos_close,squeeze,fast,fast_scale,n_trials,success_count,success_rate,obj_shape,grasps_path,tag
2025-11-20 16:04:10,grasp_6dof/assets/cylinder.urdf,0.08,24,1,11,400,5,900.0,0.0004,0.014,0.6,700.0,1.0,1,0.9,24,5,0.2083,other,grasp_6dof/dataset/gen_cylinder_patched_pruned.json,cylinder.urdf_pc700_sq1.0_topk24_gen_cylinder_patched_pruned
2025-11-20 16:05:27,grasp_6dof/assets/cylinder.urdf,0.08,24,1,11,400,5,900.0,0.0004,0.014,0.6,700.0,1.5,1,0.9,24,5,0.2083,other,grasp_6dof/dataset/gen_cylinder_patched_pruned.json,cylinder.urdf_pc700_sq1.5_topk24_gen_cylinder_patched_pruned
2025-11-20 16:06:43,grasp_6dof/assets/cylinder.urdf,0.08,24,1,11,400,5,900.0,0.0004,0.014,0.6,900.0,1.0,1,0.9,24,4,0.1667,other,grasp_6dof/dataset/gen_cylinder_patched_pruned.json,cylinder.urdf_pc900_sq1.0_topk24_gen_cylinder_patched_pruned
2025-11-20 16:08:00,grasp_6dof/assets/cylinder.urdf,0.08,24,1,11,400,5,900.0,0.0004,0.014,0.6,900.0,1.5,1,0.9,24,4,0.1667,other,grasp_6dof/dataset/gen_cylinder_patched_pruned.json,cylinder.urdf_pc900_sq1.5_topk24_gen_cylinder_patched_pruned
2025-11-20 16:09:17,grasp_6dof/assets/cylinder.urdf,0.08,24,1,11,400,5,900.0,0.0004,0.014,0.6,1100.0,1.0,1,0.9,24,5,0.2083,other,grasp_6dof/dataset/gen_cylinder_patched_pruned.json,cylinder.urdf_pc1100_sq1.0_topk24_gen_cylinder_patched_pruned
2025-11-20 16:10:36,grasp_6dof/assets/cylinder.urdf,0.08,24,1,11,400,5,900.0,0.0004,0.014,0.6,1100.0,1.5,1,0.9,24,5,0.2083,other,grasp_6dof/dataset/gen_cylinder_patched_pruned.json,cylinder.urdf_pc1100_sq1.5_topk24_gen_cylinder_patched_pruned
2025-11-20 16:11:54,grasp_6dof/assets/cylinder.urdf,0.08,24,1,11,400,5,900.0,0.0004,0.014,0.8,700.0,1.0,1,0.9,24,7,0.2917,other,grasp_6dof/dataset/gen_cylinder_patched_pruned.json,cylinder.urdf_pc700_sq1.0_topk24_gen_cylinder_patched_pruned
2025-11-20 16:13:11,grasp_6dof/assets/cylinder.urdf,0.08,24,1,11,400,5,900.0,0.0004,0.014,0.8,700.0,1.5,1,0.9,24,7,0.2917,other,grasp_6dof/dataset/gen_cylinder_patched_pruned.json,cylinder.urdf_pc700_sq1.5_topk24_gen_cylinder_patched_pruned
2025-11-20 16:14:29,grasp_6dof/assets/cylinder.urdf,0.08,24,1,11,400,5,900.0,0.0004,0.014,0.8,900.0,1.0,1,0.9,24,6,0.25,other,grasp_6dof/dataset/gen_cylinder_patched_pruned.json,cylinder.urdf_pc900_sq1.0_topk24_gen_cylinder_patched_pruned
2025-11-20 16:15:47,grasp_6dof/assets/cylinder.urdf,0.08,24,1,11,400,5,900.0,0.0004,0.014,0.8,900.0,1.5,1,0.9,24,6,0.25,other,grasp_6dof/dataset/gen_cylinder_patched_pruned.json,cylinder.urdf_pc900_sq1.5_topk24_gen_cylinder_patched_pruned
2025-11-20 16:17:04,grasp_6dof/assets/cylinder.urdf,0.08,24,1,11,400,5,900.0,0.0004,0.014,0.8,1100.0,1.0,1,0.9,24,3,0.125,other,grasp_6dof/dataset/gen_cylinder_patched_pruned.json,cylinder.urdf_pc1100_sq1.0_topk24_gen_cylinder_patched_pruned
2025-11-20 16:18:21,grasp_6dof/assets/cylinder.urdf,0.08,24,1,11,400,5,900.0,0.0004,0.014,0.8,1100.0,1.5,1,0.9,24,3,0.125,other,grasp_6dof/dataset/gen_cylinder_patched_pruned.json,cylinder.urdf_pc1100_sq1.5_topk24_gen_cylinder_patched_pruned
2025-11-20 16:19:39,grasp_6dof/assets/cylinder.urdf,0.08,24,1,11,400,5,900.0,0.0004,0.014,1.0,700.0,1.0,1,0.9,24,4,0.1667,other,grasp_6dof/dataset/gen_cylinder_patched_pruned.json,cylinder.urdf_pc700_sq1.0_topk24_gen_cylinder_patched_pruned
2025-11-20 16:20:57,grasp_6dof/assets/cylinder.urdf,0.08,24,1,11,400,5,900.0,0.0004,0.014,1.0,700.0,1.5,1,0.9,24,4,0.1667,other,grasp_6dof/dataset/gen_cylinder_patched_pruned.json,cylinder.urdf_pc700_sq1.5_topk24_gen_cylinder_patched_pruned
