obj,yaw,voxel,zmargin,seed,n,success,success_rate,file
grid,12,0.005,0.004,1,12,12,1.0,owg_grid_y12_v0.005_zm0.004_s1_validated.json
owg,8,0.006,0.003,1,12,12,1.0,owg_y8_v0.006_zm0.003_s1_validated.json
owg,8,0.005,0.003,1,12,12,1.0,owg_y8_v0.005_zm0.003_s1_validated.json
owg,8,0.006,0.004,1,12,12,1.0,owg_y8_v0.006_zm0.004_s1_validated.json
owg,12,0.004,0.003,3,12,12,1.0,owg_y12_v0.004_zm0.003_s3_validated.json
owg,16,0.006,0.004,3,12,12,1.0,owg_y16_v0.006_zm0.004_s3_validated.json
owg,12,0.004,0.004,1,12,12,1.0,owg_y12_v0.004_zm0.004_s1_validated.json
owg,8,0.005,0.003,3,12,12,1.0,owg_y8_v0.005_zm0.003_s3_validated.json
owg,8,0.004,0.004,2,12,12,1.0,owg_y8_v0.004_zm0.004_s2_validated.json
owg,8,0.004,0.004,3,12,12,1.0,owg_y8_v0.004_zm0.004_s3_validated.json
owg,8,0.005,0.004,3,12,12,1.0,owg_y8_v0.005_zm0.004_s3_validated.json
owg,8,0.006,0.004,2,12,12,1.0,owg_y8_v0.006_zm0.004_s2_validated.json
owg,16,0.005,0.004,2,12,12,1.0,owg_y16_v0.005_zm0.004_s2_validated.json
owg,16,0.005,0.003,1,12,12,1.0,owg_y16_v0.005_zm0.003_s1_validated.json
owg,12,0.005,0.004,1,12,12,1.0,owg_y12_v0.005_zm0.004_s1_validated.json
owg,16,0.004,0.003,3,12,12,1.0,owg_y16_v0.004_zm0.003_s3_validated.json
owg,16,0.006,0.004,1,12,12,1.0,owg_y16_v0.006_zm0.004_s1_validated.json
owg,12,0.004,0.003,2,12,12,1.0,owg_y12_v0.004_zm0.003_s2_validated.json
owg,12,0.006,0.004,2,12,12,1.0,owg_y12_v0.006_zm0.004_s2_validated.json
owg,16,0.004,0.003,2,12,12,1.0,owg_y16_v0.004_zm0.003_s2_validated.json
owg,12,0.005,0.003,2,12,12,1.0,owg_y12_v0.005_zm0.003_s2_validated.json
owg,8,0.004,0.004,1,12,12,1.0,owg_y8_v0.004_zm0.004_s1_validated.json
owg,16,0.004,0.004,2,12,12,1.0,owg_y16_v0.004_zm0.004_s2_validated.json
owg,12,0.005,0.004,3,12,12,1.0,owg_y12_v0.005_zm0.004_s3_validated.json
owg,8,0.006,0.003,3,12,12,1.0,owg_y8_v0.006_zm0.003_s3_validated.json
owg,8,0.006,0.003,2,12,12,1.0,owg_y8_v0.006_zm0.003_s2_validated.json
owg,16,0.004,0.003,1,12,12,1.0,owg_y16_v0.004_zm0.003_s1_validated.json
owg,8,0.004,0.003,3,12,12,1.0,owg_y8_v0.004_zm0.003_s3_validated.json
owg,12,0.006,0.003,1,12,12,1.0,owg_y12_v0.006_zm0.003_s1_validated.json
owg,8,0.006,0.004,3,12,12,1.0,owg_y8_v0.006_zm0.004_s3_validated.json
owg,16,0.004,0.004,1,12,12,1.0,owg_y16_v0.004_zm0.004_s1_validated.json
owg,8,0.004,0.003,1,12,12,1.0,owg_y8_v0.004_zm0.003_s1_validated.json
owg,12,0.004,0.004,3,12,12,1.0,owg_y12_v0.004_zm0.004_s3_validated.json
owg,8,0.005,0.004,1,12,12,1.0,owg_y8_v0.005_zm0.004_s1_validated.json
owg,8,0.004,0.003,2,12,12,1.0,owg_y8_v0.004_zm0.003_s2_validated.json
owg,16,0.005,0.004,3,12,12,1.0,owg_y16_v0.005_zm0.004_s3_validated.json
owg,16,0.006,0.003,1,12,12,1.0,owg_y16_v0.006_zm0.003_s1_validated.json
owg,12,0.006,0.004,1,12,12,1.0,owg_y12_v0.006_zm0.004_s1_validated.json
owg,12,0.004,0.004,2,12,12,1.0,owg_y12_v0.004_zm0.004_s2_validated.json
owg,12,0.006,0.004,3,12,12,1.0,owg_y12_v0.006_zm0.004_s3_validated.json
owg,16,0.005,0.003,3,12,12,1.0,owg_y16_v0.005_zm0.003_s3_validated.json
owg,8,0.005,0.003,2,12,12,1.0,owg_y8_v0.005_zm0.003_s2_validated.json
owg,12,0.005,0.004,2,12,12,1.0,owg_y12_v0.005_zm0.004_s2_validated.json
owg,16,0.005,0.003,2,12,12,1.0,owg_y16_v0.005_zm0.003_s2_validated.json
owg,16,0.006,0.003,3,12,12,1.0,owg_y16_v0.006_zm0.003_s3_validated.json
owg,16,0.004,0.004,3,12,12,1.0,owg_y16_v0.004_zm0.004_s3_validated.json
owg,12,0.005,0.003,3,12,12,1.0,owg_y12_v0.005_zm0.003_s3_validated.json
owg,12,0.004,0.003,1,12,12,1.0,owg_y12_v0.004_zm0.003_s1_validated.json
owg,12,0.006,0.003,3,12,12,1.0,owg_y12_v0.006_zm0.003_s3_validated.json
owg,12,0.005,0.003,1,12,12,1.0,owg_y12_v0.005_zm0.003_s1_validated.json
owg,16,0.006,0.003,2,12,12,1.0,owg_y16_v0.006_zm0.003_s2_validated.json
owg,8,0.005,0.004,2,12,12,1.0,owg_y8_v0.005_zm0.004_s2_validated.json
owg,16,0.006,0.004,2,12,12,1.0,owg_y16_v0.006_zm0.004_s2_validated.json
owg,12,0.006,0.003,2,12,12,1.0,owg_y12_v0.006_zm0.003_s2_validated.json
owg,16,0.005,0.004,1,12,12,1.0,owg_y16_v0.005_zm0.004_s1_validated.json
